"AAAA","BBB"
"GPSData(longitude=16.5651, latitude=48.1125, altitude=186.4, track=296.0, ground_speed=67.1)","AttitudeData(true_heading=296.0, pitch=0.28, roll=0.06)",1744314467.799465
"GPSData(longitude=16.5642, latitude=48.1128, altitude=186.3, track=296.0, ground_speed=69.4)","AttitudeData(true_heading=296.0, pitch=0.29, roll=0.06)",1744314468.812265
"GPSData(longitude=16.5633, latitude=48.1131, altitude=186.2, track=296.0, ground_speed=71.7)","AttitudeData(true_heading=296.0, pitch=0.29, roll=0.06)",1744314469.824308
"GPSData(longitude=16.5624, latitude=48.1134, altitude=186.0, track=296.0, ground_speed=73.9)","AttitudeData(true_heading=296.0, pitch=0.37, roll=0.06)",1744314470.8374772
"GPSData(longitude=16.5615, latitude=48.1137, altitude=186.0, track=296.0, ground_speed=76.0)","AttitudeData(true_heading=296.0, pitch=2.04, roll=0.06)",1744314471.85185
"GPSData(longitude=16.5605, latitude=48.114, altitude=186.0, track=296.1, ground_speed=78.0)","AttitudeData(true_heading=296.0, pitch=5.06, roll=0.06)",1744314472.864238
"GPSData(longitude=16.5597, latitude=48.1143, altitude=186.1, track=296.1, ground_speed=79.5)","AttitudeData(true_heading=296.1, pitch=7.62, roll=0.03)",1744314473.877262
"GPSData(longitude=16.5587, latitude=48.1146, altitude=187.0, track=296.1, ground_speed=81.0)","AttitudeData(true_heading=296.1, pitch=10.55, roll=-0.1)",1744314474.889329
"GPSData(longitude=16.5576, latitude=48.1149, altitude=190.3, track=296.2, ground_speed=81.9)","AttitudeData(true_heading=296.2, pitch=13.17, roll=-0.12)",1744314475.902338
"GPSData(longitude=16.5566, latitude=48.1153, altitude=196.4, track=296.3, ground_speed=82.3)","AttitudeData(true_heading=296.3, pitch=13.67, roll=0.12)",1744314476.91704
"GPSData(longitude=16.5556, latitude=48.1156, altitude=204.5, track=296.4, ground_speed=82.6)","AttitudeData(true_heading=296.3, pitch=14.11, roll=0.42)",1744314477.930722
"GPSData(longitude=16.5545, latitude=48.1159, altitude=214.3, track=296.5, ground_speed=82.6)","AttitudeData(true_heading=296.5, pitch=14.96, roll=0.5)",1744314478.945138
"GPSData(longitude=16.5537, latitude=48.1162, altitude=223.3, track=296.6, ground_speed=82.7)","AttitudeData(true_heading=296.6, pitch=14.97, roll=0.47)",1744314479.957707
"GPSData(longitude=16.5526, latitude=48.1165, altitude=235.3, track=296.7, ground_speed=82.7)","AttitudeData(true_heading=296.7, pitch=15.08, roll=0.39)",1744314480.970134
"GPSData(longitude=16.5516, latitude=48.1169, altitude=247.9, track=296.8, ground_speed=82.8)","AttitudeData(true_heading=296.8, pitch=14.87, roll=0.27)",1744314481.983753
"GPSData(longitude=16.5505, latitude=48.1172, altitude=260.8, track=296.8, ground_speed=83.0)","AttitudeData(true_heading=296.8, pitch=14.77, roll=0.16)",1744314482.996641
"GPSData(longitude=16.5495, latitude=48.1176, altitude=273.9, track=296.9, ground_speed=83.2)","AttitudeData(true_heading=296.9, pitch=14.55, roll=0.01)",1744314484.0119371
"GPSData(longitude=16.5484, latitude=48.1179, altitude=286.8, track=296.9, ground_speed=83.4)","AttitudeData(true_heading=296.9, pitch=14.36, roll=-0.13)",1744314485.024145
"GPSData(longitude=16.5476, latitude=48.1182, altitude=297.4, track=296.8, ground_speed=83.7)","AttitudeData(true_heading=296.8, pitch=14.16, roll=-0.25)",1744314486.037843
"GPSData(longitude=16.5465, latitude=48.1185, altitude=310.4, track=296.8, ground_speed=84.0)","AttitudeData(true_heading=296.8, pitch=14.06, roll=-0.36)",1744314487.050786
"GPSData(longitude=16.5454, latitude=48.1189, altitude=323.3, track=296.8, ground_speed=84.3)","AttitudeData(true_heading=296.8, pitch=14.09, roll=-0.43)",1744314488.064055
"GPSData(longitude=16.5444, latitude=48.1192, altitude=336.4, track=296.8, ground_speed=84.6)","AttitudeData(true_heading=296.8, pitch=14.1, roll=-0.45)",1744314489.0790458
"GPSData(longitude=16.5433, latitude=48.1196, altitude=349.7, track=296.7, ground_speed=84.9)","AttitudeData(true_heading=296.7, pitch=14.15, roll=-0.44)",1744314490.092222
"GPSData(longitude=16.5424, latitude=48.1199, altitude=360.3, track=296.7, ground_speed=85.1)","AttitudeData(true_heading=296.7, pitch=14.18, roll=-0.4)",1744314491.1083672
"GPSData(longitude=16.5413, latitude=48.1202, altitude=374.0, track=296.7, ground_speed=85.3)","AttitudeData(true_heading=296.7, pitch=14.24, roll=-0.3)",1744314492.122208
"GPSData(longitude=16.5402, latitude=48.1206, altitude=387.7, track=296.7, ground_speed=85.6)","AttitudeData(true_heading=296.7, pitch=14.27, roll=-0.18)",1744314493.134869
"GPSData(longitude=16.5392, latitude=48.1209, altitude=401.1, track=296.7, ground_speed=85.7)","AttitudeData(true_heading=296.7, pitch=14.32, roll=-0.05)",1744314494.150531
"GPSData(longitude=16.5381, latitude=48.1213, altitude=414.9, track=296.7, ground_speed=85.9)","AttitudeData(true_heading=296.7, pitch=14.34, roll=0.07)",1744314495.163867
"GPSData(longitude=16.537, latitude=48.1216, altitude=429.1, track=296.7, ground_speed=86.1)","AttitudeData(true_heading=296.7, pitch=14.35, roll=0.21)",1744314496.178607
"GPSData(longitude=16.536, latitude=48.122, altitude=442.9, track=296.8, ground_speed=86.2)","AttitudeData(true_heading=296.8, pitch=14.37, roll=0.33)",1744314497.191304
"GPSData(longitude=16.5349, latitude=48.1223, altitude=457.4, track=296.9, ground_speed=86.3)","AttitudeData(true_heading=296.8, pitch=14.36, roll=0.42)",1744314498.204577
"GPSData(longitude=16.534, latitude=48.1226, altitude=468.9, track=296.9, ground_speed=86.5)","AttitudeData(true_heading=296.9, pitch=14.36, roll=0.47)",1744314499.2188292
"GPSData(longitude=16.5329, latitude=48.123, altitude=483.3, track=297.0, ground_speed=86.6)","AttitudeData(true_heading=297.0, pitch=14.34, roll=0.51)",1744314500.2329931
"GPSData(longitude=16.5318, latitude=48.1233, altitude=497.7, track=297.4, ground_speed=86.7)","AttitudeData(true_heading=297.4, pitch=14.22, roll=2.78)",1744314501.246954
"GPSData(longitude=16.5307, latitude=48.1237, altitude=512.2, track=298.4, ground_speed=86.8)","AttitudeData(true_heading=298.4, pitch=13.35, roll=7.07)",1744314502.259382
"GPSData(longitude=16.5296, latitude=48.1241, altitude=526.4, track=299.9, ground_speed=87.1)","AttitudeData(true_heading=299.5, pitch=12.95, roll=10.63)",1744314503.272498
"GPSData(longitude=16.5286, latitude=48.1244, altitude=539.2, track=301.6, ground_speed=87.3)","AttitudeData(true_heading=301.2, pitch=12.43, roll=14.78)",1744314504.285836
"GPSData(longitude=16.5275, latitude=48.1248, altitude=551.5, track=303.9, ground_speed=87.6)","AttitudeData(true_heading=303.4, pitch=11.98, roll=18.9)",1744314505.298825
"GPSData(longitude=16.5267, latitude=48.1252, altitude=561.0, track=305.8, ground_speed=87.8)","AttitudeData(true_heading=305.8, pitch=11.91, roll=20.58)",1744314506.314111
"GPSData(longitude=16.5256, latitude=48.1257, altitude=572.2, track=307.9, ground_speed=88.1)","AttitudeData(true_heading=307.9, pitch=10.95, roll=21.52)",1744314507.327151
"GPSData(longitude=16.5246, latitude=48.1261, altitude=582.4, track=310.6, ground_speed=88.6)","AttitudeData(true_heading=310.6, pitch=10.48, roll=23.4)",1744314508.3420858
