"AAAA","BBB"
"GPSData(longitude=16.0197, latitude=49.1198, altitude=7208.9, track=341.4, ground_speed=214.0)","AttitudeData(true_heading=341.4, pitch=2.98, roll=-0.0)",1744315174.813497
"GPSData(longitude=16.0187, latitude=49.1217, altitude=7215.2, track=341.4, ground_speed=214.0)","AttitudeData(true_heading=341.4, pitch=2.98, roll=-0.0)",1744315175.830435
"GPSData(longitude=16.0178, latitude=49.1236, altitude=7221.5, track=341.4, ground_speed=214.1)","AttitudeData(true_heading=341.4, pitch=2.98, roll=-0.0)",1744315176.843341
"GPSData(longitude=16.0168, latitude=49.1255, altitude=7227.9, track=341.4, ground_speed=214.2)","AttitudeData(true_heading=341.4, pitch=2.98, roll=-0.0)",1744315177.857227
"GPSData(longitude=16.0158, latitude=49.1274, altitude=7234.3, track=341.4, ground_speed=214.3)","AttitudeData(true_heading=341.4, pitch=2.97, roll=0.0)",1744315178.870181
"GPSData(longitude=16.0148, latitude=49.1293, altitude=7240.5, track=341.4, ground_speed=214.3)","AttitudeData(true_heading=341.4, pitch=2.97, roll=0.0)",1744315179.882922
"GPSData(longitude=16.0139, latitude=49.1312, altitude=7246.8, track=341.4, ground_speed=214.4)","AttitudeData(true_heading=341.4, pitch=2.97, roll=0.0)",1744315180.8951612
"GPSData(longitude=16.0131, latitude=49.1328, altitude=7251.9, track=341.4, ground_speed=214.4)","AttitudeData(true_heading=341.4, pitch=2.96, roll=0.0)",1744315181.907517
"GPSData(longitude=16.0121, latitude=49.1347, altitude=7258.2, track=341.4, ground_speed=214.5)","AttitudeData(true_heading=341.4, pitch=2.97, roll=0.0)",1744315182.9227781
"GPSData(longitude=16.0111, latitude=49.1366, altitude=7264.4, track=341.4, ground_speed=214.6)","AttitudeData(true_heading=341.4, pitch=2.96, roll=-0.0)",1744315183.936733
"GPSData(longitude=16.0101, latitude=49.1385, altitude=7270.8, track=341.4, ground_speed=214.6)","AttitudeData(true_heading=341.4, pitch=2.96, roll=-0.0)",1744315184.952385
"GPSData(longitude=16.0091, latitude=49.1404, altitude=7276.9, track=341.4, ground_speed=214.7)","AttitudeData(true_heading=341.4, pitch=2.96, roll=-0.01)",1744315185.965507
"GPSData(longitude=16.0082, latitude=49.1423, altitude=7283.2, track=341.4, ground_speed=214.8)","AttitudeData(true_heading=341.4, pitch=2.95, roll=-0.01)",1744315186.978658
"GPSData(longitude=16.0074, latitude=49.1439, altitude=7288.2, track=341.4, ground_speed=214.8)","AttitudeData(true_heading=341.4, pitch=2.95, roll=-0.01)",1744315187.994478
"GPSData(longitude=16.0064, latitude=49.1458, altitude=7294.4, track=341.4, ground_speed=214.9)","AttitudeData(true_heading=341.4, pitch=2.95, roll=-0.0)",1744315189.008018
"GPSData(longitude=16.0054, latitude=49.1477, altitude=7300.6, track=341.4, ground_speed=215.0)","AttitudeData(true_heading=341.4, pitch=2.94, roll=-0.0)",1744315190.025293
"GPSData(longitude=16.0044, latitude=49.1496, altitude=7306.8, track=341.4, ground_speed=215.0)","AttitudeData(true_heading=341.4, pitch=2.94, roll=0.0)",1744315191.0373309
"GPSData(longitude=16.0034, latitude=49.1515, altitude=7313.0, track=341.4, ground_speed=215.1)","AttitudeData(true_heading=341.4, pitch=2.94, roll=0.0)",1744315192.0520651
"GPSData(longitude=16.0025, latitude=49.1534, altitude=7319.0, track=341.4, ground_speed=215.2)","AttitudeData(true_heading=341.4, pitch=2.93, roll=0.0)",1744315193.06455
"GPSData(longitude=16.0015, latitude=49.1553, altitude=7325.3, track=341.4, ground_speed=215.2)","AttitudeData(true_heading=341.4, pitch=2.93, roll=0.0)",1744315194.078429
"GPSData(longitude=16.0007, latitude=49.1568, altitude=7330.2, track=341.4, ground_speed=215.3)","AttitudeData(true_heading=341.4, pitch=2.93, roll=0.0)",1744315195.092142
"GPSData(longitude=15.9997, latitude=49.1587, altitude=7336.3, track=341.4, ground_speed=215.4)","AttitudeData(true_heading=341.4, pitch=2.92, roll=-0.0)",1744315196.104872
"GPSData(longitude=15.9987, latitude=49.1607, altitude=7342.4, track=341.4, ground_speed=215.4)","AttitudeData(true_heading=341.4, pitch=2.92, roll=-0.0)",1744315197.119045
"GPSData(longitude=15.9978, latitude=49.1626, altitude=7348.5, track=341.4, ground_speed=215.5)","AttitudeData(true_heading=341.4, pitch=2.92, roll=-0.01)",1744315198.131798
"GPSData(longitude=15.9968, latitude=49.1645, altitude=7354.6, track=341.4, ground_speed=215.6)","AttitudeData(true_heading=341.4, pitch=2.92, roll=-0.0)",1744315199.1476932
"GPSData(longitude=15.9958, latitude=49.1664, altitude=7360.7, track=341.4, ground_speed=215.6)","AttitudeData(true_heading=341.4, pitch=2.91, roll=-0.0)",1744315200.160753
"GPSData(longitude=15.9948, latitude=49.1683, altitude=7366.8, track=341.4, ground_speed=215.7)","AttitudeData(true_heading=341.4, pitch=2.91, roll=-0.0)",1744315201.173441
"GPSData(longitude=15.994, latitude=49.1698, altitude=7371.6, track=341.4, ground_speed=215.7)","AttitudeData(true_heading=341.4, pitch=2.91, roll=0.0)",1744315202.185955
"GPSData(longitude=15.993, latitude=49.1718, altitude=7377.8, track=341.4, ground_speed=215.8)","AttitudeData(true_heading=341.4, pitch=2.9, roll=0.0)",1744315203.197799
"GPSData(longitude=15.992, latitude=49.1737, altitude=7383.8, track=341.4, ground_speed=215.9)","AttitudeData(true_heading=341.4, pitch=2.9, roll=0.0)",1744315204.214493
"GPSData(longitude=15.9911, latitude=49.1756, altitude=7389.8, track=341.4, ground_speed=215.9)","AttitudeData(true_heading=341.4, pitch=2.9, roll=0.0)",1744315205.2276638
"GPSData(longitude=15.9901, latitude=49.1775, altitude=7395.8, track=341.4, ground_speed=216.0)","AttitudeData(true_heading=341.4, pitch=2.9, roll=0.0)",1744315206.2425501
"GPSData(longitude=15.9891, latitude=49.1795, altitude=7401.9, track=341.4, ground_speed=216.1)","AttitudeData(true_heading=341.4, pitch=2.89, roll=0.0)",1744315207.2553961
"GPSData(longitude=15.9883, latitude=49.181, altitude=7406.7, track=341.4, ground_speed=216.1)","AttitudeData(true_heading=341.4, pitch=2.89, roll=-0.01)",1744315208.2691069
"GPSData(longitude=15.9873, latitude=49.1829, altitude=7412.7, track=341.4, ground_speed=216.2)","AttitudeData(true_heading=341.4, pitch=2.89, roll=-0.01)",1744315209.281448
"GPSData(longitude=15.9863, latitude=49.1848, altitude=7418.6, track=341.4, ground_speed=216.3)","AttitudeData(true_heading=341.4, pitch=2.88, roll=-0.0)",1744315210.294637
"GPSData(longitude=15.9853, latitude=49.1867, altitude=7424.6, track=341.4, ground_speed=216.3)","AttitudeData(true_heading=341.4, pitch=2.88, roll=-0.01)",1744315211.312438
"GPSData(longitude=15.9844, latitude=49.1887, altitude=7430.6, track=341.4, ground_speed=216.4)","AttitudeData(true_heading=341.4, pitch=2.88, roll=-0.01)",1744315212.324499
"GPSData(longitude=15.9834, latitude=49.1906, altitude=7436.6, track=341.4, ground_speed=216.5)","AttitudeData(true_heading=341.4, pitch=2.88, roll=-0.0)",1744315213.33777
"GPSData(longitude=15.9824, latitude=49.1925, altitude=7442.6, track=341.4, ground_speed=216.5)","AttitudeData(true_heading=341.4, pitch=2.87, roll=-0.0)",1744315214.350485
"GPSData(longitude=15.9814, latitude=49.1944, altitude=7448.4, track=341.4, ground_speed=216.6)","AttitudeData(true_heading=341.4, pitch=2.87, roll=-0.0)",1744315215.363015
"GPSData(longitude=15.9806, latitude=49.196, altitude=7453.3, track=341.4, ground_speed=216.7)","AttitudeData(true_heading=341.4, pitch=2.87, roll=-0.0)",1744315216.376138
"GPSData(longitude=15.9796, latitude=49.1979, altitude=7459.2, track=341.4, ground_speed=216.7)","AttitudeData(true_heading=341.4, pitch=2.87, roll=-0.0)",1744315217.3890371
"GPSData(longitude=15.9786, latitude=49.1998, altitude=7465.1, track=341.4, ground_speed=216.8)","AttitudeData(true_heading=341.4, pitch=2.86, roll=0.0)",1744315218.404137
"GPSData(longitude=15.9776, latitude=49.2018, altitude=7471.0, track=341.4, ground_speed=216.8)","AttitudeData(true_heading=341.4, pitch=2.86, roll=0.01)",1744315219.418058
"GPSData(longitude=15.9766, latitude=49.2037, altitude=7477.0, track=341.4, ground_speed=216.9)","AttitudeData(true_heading=341.4, pitch=2.86, roll=0.0)",1744315220.4348748
"GPSData(longitude=15.9756, latitude=49.2056, altitude=7482.8, track=341.4, ground_speed=217.0)","AttitudeData(true_heading=341.4, pitch=2.86, roll=-0.0)",1744315221.4470289
"GPSData(longitude=15.9748, latitude=49.2072, altitude=7487.6, track=341.4, ground_speed=217.0)","AttitudeData(true_heading=341.4, pitch=2.86, roll=0.0)",1744315222.462645
"GPSData(longitude=15.9738, latitude=49.2091, altitude=7493.4, track=341.4, ground_speed=217.1)","AttitudeData(true_heading=341.4, pitch=2.85, roll=0.0)",1744315223.475605
"GPSData(longitude=15.9728, latitude=49.2111, altitude=7499.3, track=341.4, ground_speed=217.2)","AttitudeData(true_heading=341.4, pitch=2.85, roll=-0.0)",1744315224.489011
"GPSData(longitude=15.9718, latitude=49.213, altitude=7505.2, track=341.4, ground_speed=217.2)","AttitudeData(true_heading=341.4, pitch=2.85, roll=0.0)",1744315225.5014458
"GPSData(longitude=15.9708, latitude=49.2149, altitude=7511.1, track=341.4, ground_speed=217.3)","AttitudeData(true_heading=341.4, pitch=2.85, roll=0.0)",1744315226.5142899
"GPSData(longitude=15.9698, latitude=49.2169, altitude=7517.0, track=341.4, ground_speed=217.4)","AttitudeData(true_heading=341.4, pitch=2.84, roll=0.0)",1744315227.5284858
"GPSData(longitude=15.9691, latitude=49.2184, altitude=7521.5, track=341.4, ground_speed=217.4)","AttitudeData(true_heading=341.4, pitch=2.84, roll=0.0)",1744315228.541854
"GPSData(longitude=15.968, latitude=49.2204, altitude=7527.5, track=341.4, ground_speed=217.5)","AttitudeData(true_heading=341.4, pitch=2.84, roll=-0.0)",1744315229.555965
"GPSData(longitude=15.967, latitude=49.2223, altitude=7533.3, track=341.4, ground_speed=217.5)","AttitudeData(true_heading=341.4, pitch=2.84, roll=-0.0)",1744315230.5697432
"GPSData(longitude=15.966, latitude=49.2242, altitude=7539.2, track=341.4, ground_speed=217.6)","AttitudeData(true_heading=341.4, pitch=2.83, roll=-0.0)",1744315231.581509
"GPSData(longitude=15.965, latitude=49.2262, altitude=7545.0, track=341.4, ground_speed=217.7)","AttitudeData(true_heading=341.4, pitch=2.83, roll=-0.01)",1744315232.594316
"GPSData(longitude=15.964, latitude=49.2281, altitude=7550.8, track=341.4, ground_speed=217.7)","AttitudeData(true_heading=341.4, pitch=2.83, roll=-0.01)",1744315233.608083
"GPSData(longitude=15.9632, latitude=49.2297, altitude=7555.5, track=341.4, ground_speed=217.8)","AttitudeData(true_heading=341.4, pitch=2.83, roll=-0.0)",1744315234.6240551
"GPSData(longitude=15.9622, latitude=49.2316, altitude=7561.3, track=341.4, ground_speed=217.8)","AttitudeData(true_heading=341.4, pitch=2.82, roll=-0.0)",1744315235.636632
"GPSData(longitude=15.9612, latitude=49.2336, altitude=7567.0, track=341.4, ground_speed=217.9)","AttitudeData(true_heading=341.4, pitch=2.82, roll=-0.0)",1744315236.652012
"GPSData(longitude=15.9602, latitude=49.2355, altitude=7572.7, track=341.4, ground_speed=218.0)","AttitudeData(true_heading=341.4, pitch=2.82, roll=-0.0)",1744315237.665053
"GPSData(longitude=15.9592, latitude=49.2374, altitude=7578.5, track=341.4, ground_speed=218.0)","AttitudeData(true_heading=341.4, pitch=2.82, roll=-0.0)",1744315238.678334
"GPSData(longitude=15.9582, latitude=49.2394, altitude=7584.3, track=341.4, ground_speed=218.1)","AttitudeData(true_heading=341.4, pitch=2.82, roll=-0.0)",1744315239.690518
"GPSData(longitude=15.9572, latitude=49.2413, altitude=7590.0, track=341.4, ground_speed=218.2)","AttitudeData(true_heading=341.4, pitch=2.81, roll=-0.0)",1744315240.703954
"GPSData(longitude=15.9564, latitude=49.2429, altitude=7594.6, track=341.4, ground_speed=218.2)","AttitudeData(true_heading=341.4, pitch=2.81, roll=-0.0)",1744315241.719
"GPSData(longitude=15.9554, latitude=49.2448, altitude=7600.3, track=341.4, ground_speed=218.3)","AttitudeData(true_heading=341.4, pitch=2.81, roll=0.0)",1744315242.7318552
"GPSData(longitude=15.9545, latitude=49.2467, altitude=7605.9, track=341.4, ground_speed=218.3)","AttitudeData(true_heading=341.4, pitch=2.81, roll=0.0)",1744315243.748993
"GPSData(longitude=15.9534, latitude=49.2487, altitude=7611.6, track=341.4, ground_speed=218.4)","AttitudeData(true_heading=341.4, pitch=2.8, roll=-0.0)",1744315244.7614322
"GPSData(longitude=15.9524, latitude=49.2506, altitude=7617.4, track=341.4, ground_speed=218.5)","AttitudeData(true_heading=341.4, pitch=2.8, roll=0.0)",1744315245.77772
"GPSData(longitude=15.9515, latitude=49.2525, altitude=7623.0, track=341.4, ground_speed=218.5)","AttitudeData(true_heading=341.4, pitch=2.8, roll=-0.0)",1744315246.790591
"GPSData(longitude=15.9504, latitude=49.2545, altitude=7628.7, track=341.4, ground_speed=218.6)","AttitudeData(true_heading=341.4, pitch=2.79, roll=-0.0)",1744315247.804162
"GPSData(longitude=15.9496, latitude=49.2561, altitude=7633.2, track=341.4, ground_speed=218.6)","AttitudeData(true_heading=341.4, pitch=2.79, roll=-0.0)",1744315248.818024
"GPSData(longitude=15.9486, latitude=49.258, altitude=7638.8, track=341.4, ground_speed=218.7)","AttitudeData(true_heading=341.4, pitch=2.79, roll=-0.0)",1744315249.8305569
"GPSData(longitude=15.9476, latitude=49.26, altitude=7644.5, track=341.4, ground_speed=218.8)","AttitudeData(true_heading=341.4, pitch=2.78, roll=-0.01)",1744315250.8466802
"GPSData(longitude=15.9466, latitude=49.2619, altitude=7650.1, track=341.4, ground_speed=218.8)","AttitudeData(true_heading=341.4, pitch=2.79, roll=-0.01)",1744315251.860398
"GPSData(longitude=15.9456, latitude=49.2638, altitude=7655.6, track=341.4, ground_speed=218.9)","AttitudeData(true_heading=341.4, pitch=2.78, roll=-0.0)",1744315252.876341
"GPSData(longitude=15.9446, latitude=49.2658, altitude=7661.2, track=341.4, ground_speed=218.9)","AttitudeData(true_heading=341.4, pitch=2.78, roll=-0.0)",1744315253.889237
"GPSData(longitude=15.9436, latitude=49.2677, altitude=7666.8, track=341.4, ground_speed=219.0)","AttitudeData(true_heading=341.4, pitch=2.78, roll=-0.0)",1744315254.901855
"GPSData(longitude=15.9428, latitude=49.2693, altitude=7671.2, track=341.4, ground_speed=219.1)","AttitudeData(true_heading=341.4, pitch=2.77, roll=0.0)",1744315255.916297
"GPSData(longitude=15.9418, latitude=49.2712, altitude=7676.8, track=341.4, ground_speed=219.1)","AttitudeData(true_heading=341.4, pitch=2.77, roll=-0.01)",1744315256.929062
"GPSData(longitude=15.9408, latitude=49.2732, altitude=7682.3, track=341.4, ground_speed=219.2)","AttitudeData(true_heading=341.4, pitch=2.77, roll=-0.0)",1744315257.94419
"GPSData(longitude=15.9398, latitude=49.2751, altitude=7687.9, track=341.4, ground_speed=219.2)","AttitudeData(true_heading=341.4, pitch=2.77, roll=-0.0)",1744315258.957197
"GPSData(longitude=15.9388, latitude=49.2771, altitude=7693.5, track=341.4, ground_speed=219.3)","AttitudeData(true_heading=341.4, pitch=2.76, roll=-0.01)",1744315259.972814
"GPSData(longitude=15.9378, latitude=49.279, altitude=7699.0, track=341.4, ground_speed=219.4)","AttitudeData(true_heading=341.4, pitch=2.76, roll=-0.0)",1744315260.98653
"GPSData(longitude=15.937, latitude=49.2806, altitude=7703.4, track=341.4, ground_speed=219.4)","AttitudeData(true_heading=341.4, pitch=2.76, roll=-0.0)",1744315261.999976
"GPSData(longitude=15.936, latitude=49.2825, altitude=7708.9, track=341.4, ground_speed=219.5)","AttitudeData(true_heading=341.4, pitch=2.76, roll=0.0)",1744315263.013071
"GPSData(longitude=15.935, latitude=49.2845, altitude=7714.5, track=341.4, ground_speed=219.5)","AttitudeData(true_heading=341.4, pitch=2.75, roll=0.01)",1744315264.02554
"GPSData(longitude=15.934, latitude=49.2864, altitude=7719.8, track=341.4, ground_speed=219.6)","AttitudeData(true_heading=341.4, pitch=2.75, roll=0.01)",1744315265.0412228
"GPSData(longitude=15.933, latitude=49.2884, altitude=7725.3, track=341.4, ground_speed=219.7)","AttitudeData(true_heading=341.4, pitch=2.75, roll=-0.0)",1744315266.054146
"GPSData(longitude=15.9319, latitude=49.2903, altitude=7730.8, track=341.4, ground_speed=219.7)","AttitudeData(true_heading=341.4, pitch=2.74, roll=-0.0)",1744315267.067968
"GPSData(longitude=15.9309, latitude=49.2923, altitude=7736.3, track=341.4, ground_speed=219.8)","AttitudeData(true_heading=341.4, pitch=2.74, roll=-0.01)",1744315268.080805
"GPSData(longitude=15.9301, latitude=49.2939, altitude=7740.7, track=341.4, ground_speed=219.8)","AttitudeData(true_heading=341.4, pitch=2.74, roll=-0.0)",1744315269.093666
"GPSData(longitude=15.9291, latitude=49.2958, altitude=7746.1, track=341.4, ground_speed=219.9)","AttitudeData(true_heading=341.4, pitch=2.74, roll=-0.0)",1744315270.1081128
"GPSData(longitude=15.9281, latitude=49.2978, altitude=7751.7, track=341.4, ground_speed=220.0)","AttitudeData(true_heading=341.4, pitch=2.74, roll=0.0)",1744315271.121129
"GPSData(longitude=15.9271, latitude=49.2998, altitude=7757.0, track=341.4, ground_speed=220.0)","AttitudeData(true_heading=341.4, pitch=2.74, roll=0.0)",1744315272.135082
"GPSData(longitude=15.9261, latitude=49.3017, altitude=7762.5, track=341.4, ground_speed=220.1)","AttitudeData(true_heading=341.4, pitch=2.73, roll=0.0)",1744315273.1476932
"GPSData(longitude=15.9251, latitude=49.3037, altitude=7767.9, track=341.4, ground_speed=220.1)","AttitudeData(true_heading=341.4, pitch=2.73, roll=-0.0)",1744315274.1630158
"GPSData(longitude=15.9242, latitude=49.3052, altitude=7772.3, track=341.4, ground_speed=220.2)","AttitudeData(true_heading=341.4, pitch=2.73, roll=-0.0)",1744315275.175776
"GPSData(longitude=15.9232, latitude=49.3072, altitude=7777.7, track=341.4, ground_speed=220.3)","AttitudeData(true_heading=341.4, pitch=2.73, roll=-0.01)",1744315276.189603
"GPSData(longitude=15.9222, latitude=49.3091, altitude=7783.0, track=341.4, ground_speed=220.3)","AttitudeData(true_heading=341.4, pitch=2.73, roll=-0.01)",1744315277.2026298
"GPSData(longitude=15.9212, latitude=49.3111, altitude=7788.4, track=341.4, ground_speed=220.4)","AttitudeData(true_heading=341.4, pitch=2.72, roll=-0.01)",1744315278.2160351
"GPSData(longitude=15.9202, latitude=49.3131, altitude=7793.9, track=341.4, ground_speed=220.4)","AttitudeData(true_heading=341.4, pitch=2.72, roll=-0.0)",1744315279.263699
"GPSData(longitude=15.9192, latitude=49.315, altitude=7799.0, track=341.4, ground_speed=220.5)","AttitudeData(true_heading=341.4, pitch=2.72, roll=0.0)",1744315280.313846
"GPSData(longitude=15.9182, latitude=49.317, altitude=7804.5, track=341.4, ground_speed=220.6)","AttitudeData(true_heading=341.4, pitch=2.72, roll=0.0)",1744315281.3720078
"GPSData(longitude=15.9172, latitude=49.319, altitude=7810.0, track=341.4, ground_speed=220.6)","AttitudeData(true_heading=341.4, pitch=2.72, roll=-0.01)",1744315282.4636512
"GPSData(longitude=15.9159, latitude=49.3213, altitude=7816.4, track=341.4, ground_speed=220.7)","AttitudeData(true_heading=341.4, pitch=2.71, roll=-0.0)",1744315283.53841
"GPSData(longitude=15.9149, latitude=49.3233, altitude=7821.8, track=341.3, ground_speed=220.7)","AttitudeData(true_heading=341.3, pitch=2.71, roll=-0.0)",1744315284.6052852
"GPSData(longitude=15.9139, latitude=49.3252, altitude=7827.0, track=341.3, ground_speed=220.8)","AttitudeData(true_heading=341.3, pitch=2.71, roll=-0.01)",1744315285.671734
"GPSData(longitude=15.9129, latitude=49.3272, altitude=7832.4, track=341.3, ground_speed=220.9)","AttitudeData(true_heading=341.3, pitch=2.7, roll=-0.0)",1744315286.746717
"GPSData(longitude=15.9119, latitude=49.3292, altitude=7837.7, track=341.3, ground_speed=220.9)","AttitudeData(true_heading=341.3, pitch=2.7, roll=-0.0)",1744315287.805037
"GPSData(longitude=15.9109, latitude=49.3311, altitude=7843.0, track=341.3, ground_speed=221.0)","AttitudeData(true_heading=341.3, pitch=2.7, roll=-0.0)",1744315288.863532
"GPSData(longitude=15.9099, latitude=49.333, altitude=7848.2, track=341.3, ground_speed=221.0)","AttitudeData(true_heading=341.3, pitch=2.7, roll=0.0)",1744315289.938901
"GPSData(longitude=15.9089, latitude=49.335, altitude=7853.5, track=341.3, ground_speed=221.1)","AttitudeData(true_heading=341.3, pitch=2.7, roll=-0.0)",1744315291.0135481
"GPSData(longitude=15.9078, latitude=49.337, altitude=7858.9, track=341.3, ground_speed=221.2)","AttitudeData(true_heading=341.3, pitch=2.69, roll=-0.0)",1744315292.088931
"GPSData(longitude=15.9066, latitude=49.3394, altitude=7865.3, track=341.3, ground_speed=221.2)","AttitudeData(true_heading=341.3, pitch=2.69, roll=-0.0)",1744315293.155242
"GPSData(longitude=15.9056, latitude=49.3413, altitude=7870.5, track=341.3, ground_speed=221.3)","AttitudeData(true_heading=341.3, pitch=2.69, roll=0.0)",1744315294.221615
"GPSData(longitude=15.9046, latitude=49.3433, altitude=7875.8, track=341.3, ground_speed=221.4)","AttitudeData(true_heading=341.3, pitch=2.69, roll=0.0)",1744315295.28826
"GPSData(longitude=15.9035, latitude=49.3453, altitude=7881.1, track=341.3, ground_speed=221.4)","AttitudeData(true_heading=341.3, pitch=2.68, roll=-0.0)",1744315296.3549461
"GPSData(longitude=15.9025, latitude=49.3473, altitude=7886.4, track=341.3, ground_speed=221.5)","AttitudeData(true_heading=341.3, pitch=2.68, roll=0.0)",1744315297.4215739
"GPSData(longitude=15.9015, latitude=49.3492, altitude=7891.6, track=341.3, ground_speed=221.5)","AttitudeData(true_heading=341.3, pitch=2.68, roll=0.0)",1744315298.479934
"GPSData(longitude=15.9004, latitude=49.3513, altitude=7897.0, track=341.3, ground_speed=221.6)","AttitudeData(true_heading=341.3, pitch=2.68, roll=-0.01)",1744315299.501216
"GPSData(longitude=15.8994, latitude=49.3532, altitude=7902.2, track=341.3, ground_speed=221.7)","AttitudeData(true_heading=341.3, pitch=2.68, roll=-0.01)",1744315300.513393
"GPSData(longitude=15.8986, latitude=49.3548, altitude=7906.4, track=341.3, ground_speed=221.7)","AttitudeData(true_heading=341.3, pitch=2.67, roll=-0.0)",1744315301.5274692
"GPSData(longitude=15.8976, latitude=49.3568, altitude=7911.5, track=341.3, ground_speed=221.8)","AttitudeData(true_heading=341.3, pitch=2.67, roll=-0.01)",1744315302.5399868
"GPSData(longitude=15.8966, latitude=49.3587, altitude=7916.7, track=341.3, ground_speed=221.8)","AttitudeData(true_heading=341.3, pitch=2.67, roll=-0.0)",1744315303.552217
"GPSData(longitude=15.8956, latitude=49.3607, altitude=7921.9, track=341.3, ground_speed=221.9)","AttitudeData(true_heading=341.3, pitch=2.67, roll=-0.0)",1744315304.565739
"GPSData(longitude=15.8945, latitude=49.3627, altitude=7927.1, track=341.3, ground_speed=221.9)","AttitudeData(true_heading=341.3, pitch=2.66, roll=-0.0)",1744315305.568928
"GPSData(longitude=15.8935, latitude=49.3646, altitude=7932.2, track=341.3, ground_speed=222.0)","AttitudeData(true_heading=341.3, pitch=2.66, roll=0.0)",1744315306.585382
"GPSData(longitude=15.8925, latitude=49.3666, altitude=7937.4, track=341.3, ground_speed=222.1)","AttitudeData(true_heading=341.3, pitch=2.66, roll=-0.01)",1744315307.6004171
"GPSData(longitude=15.8915, latitude=49.3686, altitude=7942.4, track=341.3, ground_speed=222.1)","AttitudeData(true_heading=341.3, pitch=2.66, roll=-0.0)",1744315308.6200671
"GPSData(longitude=15.8907, latitude=49.3701, altitude=7946.5, track=341.3, ground_speed=222.2)","AttitudeData(true_heading=341.3, pitch=2.66, roll=-0.0)",1744315309.634974
"GPSData(longitude=15.8896, latitude=49.3721, altitude=7951.6, track=341.3, ground_speed=222.2)","AttitudeData(true_heading=341.3, pitch=2.66, roll=-0.0)",1744315310.651283
"GPSData(longitude=15.8886, latitude=49.3741, altitude=7956.8, track=341.3, ground_speed=222.3)","AttitudeData(true_heading=341.3, pitch=2.65, roll=-0.0)",1744315311.667281
"GPSData(longitude=15.8876, latitude=49.376, altitude=7961.9, track=341.3, ground_speed=222.3)","AttitudeData(true_heading=341.3, pitch=2.65, roll=-0.01)",1744315312.682566
"GPSData(longitude=15.8866, latitude=49.378, altitude=7967.1, track=341.3, ground_speed=222.4)","AttitudeData(true_heading=341.3, pitch=2.65, roll=0.0)",1744315313.69961
"GPSData(longitude=15.8855, latitude=49.38, altitude=7972.1, track=341.3, ground_speed=222.4)","AttitudeData(true_heading=341.3, pitch=2.65, roll=0.0)",1744315314.715866
"GPSData(longitude=15.8847, latitude=49.3816, altitude=7976.3, track=341.3, ground_speed=222.5)","AttitudeData(true_heading=341.3, pitch=2.64, roll=0.0)",1744315315.7289479
"GPSData(longitude=15.8837, latitude=49.3836, altitude=7981.4, track=341.3, ground_speed=222.6)","AttitudeData(true_heading=341.3, pitch=2.64, roll=0.0)",1744315316.742806
"GPSData(longitude=15.8827, latitude=49.3855, altitude=7986.4, track=341.3, ground_speed=222.6)","AttitudeData(true_heading=341.3, pitch=2.64, roll=-0.01)",1744315317.7544608
"GPSData(longitude=15.8817, latitude=49.3875, altitude=7991.5, track=341.3, ground_speed=222.7)","AttitudeData(true_heading=341.3, pitch=2.64, roll=-0.01)",1744315318.766411
"GPSData(longitude=15.8806, latitude=49.3895, altitude=7996.5, track=341.3, ground_speed=222.7)","AttitudeData(true_heading=341.3, pitch=2.64, roll=-0.0)",1744315319.779959
"GPSData(longitude=15.8796, latitude=49.3915, altitude=8001.6, track=341.3, ground_speed=222.8)","AttitudeData(true_heading=341.3, pitch=2.63, roll=-0.0)",1744315320.794223
"GPSData(longitude=15.8786, latitude=49.3935, altitude=8006.7, track=341.3, ground_speed=222.8)","AttitudeData(true_heading=341.3, pitch=2.63, roll=0.0)",1744315321.807848
"GPSData(longitude=15.8775, latitude=49.3955, altitude=8011.8, track=341.3, ground_speed=222.9)","AttitudeData(true_heading=341.3, pitch=2.63, roll=-0.0)",1744315322.8428512
"GPSData(longitude=15.8767, latitude=49.397, altitude=8015.8, track=341.3, ground_speed=222.9)","AttitudeData(true_heading=341.3, pitch=2.63, roll=0.0)",1744315323.84959
"GPSData(longitude=15.8757, latitude=49.399, altitude=8020.8, track=341.3, ground_speed=223.0)","AttitudeData(true_heading=341.3, pitch=2.62, roll=0.0)",1744315324.8641222
"GPSData(longitude=15.8747, latitude=49.401, altitude=8025.8, track=341.3, ground_speed=223.1)","AttitudeData(true_heading=341.3, pitch=2.62, roll=0.0)",1744315325.8775969
"GPSData(longitude=15.8736, latitude=49.403, altitude=8030.8, track=341.3, ground_speed=223.1)","AttitudeData(true_heading=341.3, pitch=2.62, roll=0.0)",1744315326.890945
"GPSData(longitude=15.8726, latitude=49.4049, altitude=8035.7, track=341.3, ground_speed=223.2)","AttitudeData(true_heading=341.3, pitch=2.62, roll=-0.0)",1744315327.9045959
"GPSData(longitude=15.8716, latitude=49.4069, altitude=8040.8, track=341.3, ground_speed=223.2)","AttitudeData(true_heading=341.3, pitch=2.62, roll=0.0)",1744315328.9165199
"GPSData(longitude=15.8707, latitude=49.4085, altitude=8044.7, track=341.3, ground_speed=223.3)","AttitudeData(true_heading=341.3, pitch=2.61, roll=-0.0)",1744315329.9321768
"GPSData(longitude=15.8697, latitude=49.4105, altitude=8049.7, track=341.3, ground_speed=223.3)","AttitudeData(true_heading=341.3, pitch=2.61, roll=-0.0)",1744315330.958687
